Key,Desc,Default,English
Zones,,Zones,Zones
Zoom,,Zoom,Zoom
Zoom In,,Zoom In,Zoom In
Zoom In - Rotate Right,,Zoom In / Rotate Right,Zoom In / Rotate Right
Zoom Object,,Zoom Object,Zoom Object
Zoom Object (Hold) - Contextual (Click),,Zoom Object (Hold) / Contextual (Click),Zoom Object (Hold) / Contextual (Click)
Zoom Out,,Zoom Out,Zoom Out
Zoom Out - Rotate Left,,Zoom Out / Rotate Left,Zoom Out / Rotate Left
Zoom Toggle,,Zoom Toggle,Zoom Toggle
Zoom in-out,,Zoom in/out,Zoom in/out
Zoom time!,,Zoom time!,Zoom time!
combinelong,,"The combine tool is a tool where you can link objects together. To unlink objects, click on the original combined object and link to nothing.  The combine tool is great for making dials, wheels, roulette tables and even just sticking objects together.","The combine tool is a tool where you can link objects together. To unlink objects, click on the original combined object and link to nothing.  The combine tool is great for making dials, wheels, roulette tables and even just sticking objects together."
decallong,,"The decal tool can be used to make card stickers, bullet holes, or other effects that need transparency. +/- to scale size. Q/E to rotate.","The decal tool can be used to make card stickers, bullet holes, or other effects that need transparency. +/- to scale size. Q/E to rotate."
edgecenterlong,,"When measuring from an object:

Edge: Measure from its nearest edge

Center: Measure from its center","When measuring from an object:

Edge: Measure from its nearest edge

Center: Measure from its center"
fixedjointlong,,"Joint that locks two objects in place without creating a parent child relationship like the Attach tool.
Right click the jointed object and click Joint to bring up the new menu. ","Joint that locks two objects in place without creating a parent child relationship like the Attach tool.
Right click the jointed object and click Joint to bring up the new menu. "
gizmoslong,,"Local: Gizmos are in selected object's rotation.
Global: Gizmos are in global rotation.","Local: Gizmos are in selected object's rotation.
Global: Gizmos are in global rotation."
hingejointlong,,"Joint with door hinge like connection. Can even have motors.
Right click the jointed object and click Joint to bring up the new menu. ","Joint with door hinge like connection. Can even have motors.
Right click the jointed object and click Joint to bring up the new menu. "
linelong,,"The line tool can be used for basic measuring, or click it to ping the area.  

You may hold the line tool key (default: TAB)  to activate this while in other modes.  Doing so while holding an object will measure from the pickup point (Auto mode only).  ","The line tool can be used for basic measuring, or click it to ping the area.  

You may hold the line tool key (default: TAB)  to activate this while in other modes.  Doing so while holding an object will measure from the pickup point (Auto mode only).  "
localized_language,Name of current language in that language,English,English
movelong,,"Use to move an object in space.
<Ctrl> Snap move.
<Shift> Screen space translation.","Use to move an object in space.
<Ctrl> Snap move.
<Shift> Screen space translation."
or,,or,or
restrictunrestrictlong,,"When Unrestricted will show the view you see. 

When Restricted will show the view a Grey spectator would see.","When Unrestricted will show the view you see. 

When Restricted will show the view a Grey spectator would see."
rotatelong,,"Use to rotate an object.
<Ctrl> Snap rotate.","Use to rotate an object.
<Ctrl> Snap rotate."
rulerautofree,,"Auto: Measure from objects where appropriate.  When hovering, hold CTRL to use the pointer position instead.

Free: Measure using only your pointer position.","Auto: Measure from objects where appropriate.  When hovering, hold CTRL to use the pointer position instead.

Free: Measure using only your pointer position."
scalelong,,"Use to scale an object.
<Ctrl> Snap scaling.
<Shift> Scale from center.","Use to scale an object.
<Ctrl> Snap scaling.
<Shift> Scale from center."
springjointlong,,"Joint that works just like it sounds a spring.
Right click the jointed object and click Joint to bring up the new menu. ","Joint that works just like it sounds a spring.
Right click the jointed object and click Joint to bring up the new menu. "
tagslong,,Tags change how components interact with game systems.  If a system has any tags set then only components which have a matching tag will interact with it.,Tags change how components interact with game systems.  If a system has any tags set then only components which have a matching tag will interact with it.
typing,,typing,typing
volumescalelong,,"Use to scale an object by stretching its sides.
<Ctrl> Snap scaling.
<Shift> Scale from center.","Use to scale an object by stretching its sides.
<Ctrl> Snap scaling.
<Shift> Scale from center."
will move your camera up and will move your camera down.,,<Space> will move your camera up and <Ctrl> will move your camera down.,<Space> will move your camera up and <Ctrl> will move your camera down.
{0} already exists at this location. Move and overwrite?,,{0} already exists at this location. Move and overwrite?,{0} already exists at this location. Move and overwrite?
{0} already exists. Do you want to overwrite this file?,,{0} already exists. Do you want to overwrite this file?,{0} already exists. Do you want to overwrite this file?
