Key,Desc,Default,Chinese (Traditional)
"You must have IRC enabled in your chat settings. In the GLOBAL tab, you can private message anyone who is connected to global chat. Type msg name message. For example: msg Kimikat Hello!",,"You must have IRC enabled in your chat settings. In the GLOBAL tab, you can private message anyone who is connected to global chat. Type /msg name message. For example: /msg Kimikat Hello!",您必須在聊天設定中啟用 IRC。在全域標籤中，您可以與連結全域聊天的玩家私密聊天。使用「/msg 名字 訊息內容」。例如：/msg Kimikat 你好！
"You still need to go to your workshop page, upload some screenshots, and make the mod public.",,"You still need to go to your workshop page, upload some screenshots, and make the mod public.",您依然需要前往您的工作坊頁面，上傳一些截圖，並將模組設為公開。
You will need to flip it with (F) so it stacks. Then drop the card on the deck.,,"You will need to flip it with <F> so it stacks.
Then drop the card on the deck.","您需要使用＜F＞將其翻面。
然後將卡片疊在牌堆上。"
You will need to flip it with (Pad Up) so it stacks. Then drop the card on top of the deck.,,"You will need to flip it with <Pad Up> so it stacks.
Then drop the card on top of the deck.","您需要使用＜十字鍵上＞將其翻面。
然後將卡片疊在牌堆頂端。"
You will need to flip it with (X) so it stacks. Then drop the card on top of the deck.,,"You will need to flip it with <X> so it stacks.
Then drop the card on top of the deck.","您需要使用＜X＞將其翻面。
然後將卡片疊在牌堆頂端。"
You will need to flip it with double tap so it stacks. Then drop the card on top of the deck.,,"You will need to flip it with double tap so it stacks.
Then drop the card on top of the deck.","您需要雙擊將其翻面。
然後將卡片疊在牌堆頂端。"
Your upload to Workshop was successful! Save this number to update the mod in the future. (Can also be found in the URL for your mod),,Your upload to Workshop was successful! Save this number to update the mod in the future. (Can also be found in the URL for your mod),已成功上傳工作坊！儲存這串數字來進行後續更新。（同樣可以在模組的連結中找到）
Zeke Kodoku,,,傑克寇杜庫
Zomblor,,,殭布落
Zone,,Zone,區域
Zones,,Zones,區域
Zoom,,Zoom,縮放
Zoom In,,Zoom In,放大
Zoom In - Rotate Right,,Zoom In / Rotate Right,放大／向右旋轉
Zoom Object,,Zoom Object,縮放物件
Zoom Object (Hold) - Contextual (Click),,Zoom Object (Hold) / Contextual (Click),縮放物件（按住）／環境選單（點擊）
Zoom Out,,Zoom Out,縮小
Zoom Out - Rotate Left,,Zoom Out / Rotate Left,縮小／向左旋轉
Zoom Toggle,,Zoom Toggle,切換縮放
Zoom in-out,,Zoom in/out,放大／縮小
Zoom time!,,Zoom time!,縮放時間！
_Author,,,CHLBC
_Title,,,桌遊模擬器 繁體中文化
combinelong,,"The combine tool is a tool where you can link objects together. To unlink objects, click on the original combined object and link to nothing.  The combine tool is great for making dials, wheels, roulette tables and even just sticking objects together.",組合工具可以將物件連結在一起。若要取消連結，請點擊已組合的原始物件，並連結至空白處。組合工具非常適合製作錶盤、車輪、輪盤桌，或者只是簡單地將物件固定在一起。
decallong,,"The decal tool can be used to make card stickers, bullet holes, or other effects that need transparency. +/- to scale size. Q/E to rotate.",印花工具可以製作卡片貼紙、彈孔，或其他附有透明度效果的圖案。使用＜+＞或＜-＞縮放大小、＜Q＞或＜E＞進行旋轉。
edgecenterlong,,"When measuring from an object:

Edge: Measure from its nearest edge

Center: Measure from its center","測量物件時：

邊緣：測量最近的邊緣

中心：測量中心"
fixedjointlong,,"Joint that locks two objects in place without creating a parent child relationship like the Attach tool.
Right click the jointed object and click Joint to bring up the new menu. ","連結特定位置的兩個鎖定物件，且不建立如附加工具一樣的父子關係。
右鍵點擊連結的物件，接著點擊節點開啟新選單。"
gizmoslong,,"Local: Gizmos are in selected object's rotation.
Global: Gizmos are in global rotation.","區域：使用物件坐標系。
全域：使用全域坐標系。"
hingejointlong,,"Joint with door hinge like connection. Can even have motors.
Right click the jointed object and click Joint to bring up the new menu. ","如門片鉸鍊一樣連結。可以設定驅動。
右鍵點擊連結的物件，接著點擊節點開啟新選單。"
linelong,,"The line tool can be used for basic measuring, or click it to ping the area.  

You may hold the line tool key (default: TAB)  to activate this while in other modes.  Doing so while holding an object will measure from the pickup point (Auto mode only).  ","直線工具可用於基本測量，或是點擊它來提示某一區域。

您可以按住直線工具快速鍵（預設：TAB 鍵）來在其他模式中啟用此動作。例如在拿取物件時會測量從起點起的長度（僅限自動模式）。"
localized_language,Name of current language in that language,Traditional Chinese,繁體中文
movelong,,"Use to move an object in space.
<Ctrl> Snap move.
<Shift> Screen space translation.","用於空間中移動物件。
按住＜Ctrl＞吸附移動。
按住＜Shift＞螢幕空間移動。"
or,,or,或
restrictunrestrictlong,,"When Unrestricted will show the view you see. 

When Restricted will show the view a Grey spectator would see.","無限制時，展示您的視角。

有限制時，展示灰色旁觀者的視角。"
rotatelong,,"Use to rotate an object.
<Ctrl> Snap rotate.","用於旋轉物件。
使用＜Ctrl＞吸附旋轉。"
rulerautofree,,"Auto: Measure from objects where appropriate.  When hovering, hold CTRL to use the pointer position instead.

Free: Measure using only your pointer position.","自動：在適當情況下自動測量；懸停時按住＜Ctrl＞以使用游標位置。

自由：僅使用游標位置測量。"
scalelong,,"Use to scale an object.
<Ctrl> Snap scaling.
<Shift> Scale from center.","用於縮放物件。
使用＜Ctrl＞定量縮放。
使用＜Shift＞中心縮放。"
springjointlong,,"Joint that works just like it sounds a spring.
Right click the jointed object and click Joint to bring up the new menu. ","如彈簧一樣連結。
右鍵點擊連結的物件，接著點擊節點開啟新選單。"
tagslong,,Tags change how components interact with game systems.  If a system has any tags set then only components which have a matching tag will interact with it.,標籤更改了配件與遊戲系統的互動。若系統擁有標籤設定，則只有符合標籤的配件可以互動。
typing,,typing,輸入
volumescalelong,,"Use to scale an object by stretching its sides.
<Ctrl> Snap scaling.
<Shift> Scale from center.","用於縮放物件。
使用＜Ctrl＞定量縮放。
使用＜Shift＞中心縮放。"
will move your camera up and will move your camera down.,,<Space> will move your camera up and <Ctrl> will move your camera down.,按下＜空白鍵＞會向上移動鏡頭；按下＜Ctrl＞會向下移動鏡頭。
{0} already exists at this location. Move and overwrite?,,{0} already exists at this location. Move and overwrite?,{0}在此位置已存在。是否要移動並覆蓋呢？
{0} already exists. Do you want to overwrite this file?,,{0} already exists. Do you want to overwrite this file?,{0}已存在。是否要覆蓋此檔案呢？
{0} copied to clipboard,,{0} copied to clipboard,「{0}」已複製至剪貼簿
